User,Reter,Comment,Votes,Time
@资本虾场,,恭喜肖战一番大男主电影《诛仙》票房破四亿，恭喜肖战成立个人工作室，肖战值得！！！！,30330,2019-09-29 20:05
@太上老君的咸蛋黄,,来了,605,2019-09-29 20:05
@可愛dd-,,,532,2019-09-29 20:05
@一点点珍波椰,,体面的表演值得体面的告别，感谢观众帮《诛仙》、帮肖战走完了前99步，更谢谢你们恰好将3.9到4.0的这最后一步，留给我们粉丝来完成。 这小小的一步，对电影行业不重要，对普通观众不重要，但对我们，真的很重要。@X玖少年团肖战DAYTOY 4亿电影大男主，你好。寒冬腊月里你含笑吃的苦，终究不负。,227,2019-09-29 20:05
@Daiiiiii_,,恭喜诛仙破四亿，恭喜肖战@X玖少年团肖战DAYTOY ,104,2019-09-29 20:05
@·PurpleTae·,,体面的表演值得体面的告别，感谢观众帮《诛仙》、帮肖战走完了前99步，更谢谢你们恰好将3.9到4.0的这最后一步，留给我们粉丝来完成。 这小小的一步，对电影行业不重要，对普通观众不重要，但对我们，真的很重要。@X玖少年团肖战DAYTOY 4亿电影大男主，你好。寒冬腊月里你含笑吃的苦，终究不负。,100,2019-09-29 20:06
@UNIQ-王一博的隐婚娘子,,恭喜哥哥！！！加油！！未来可期！,35,2019-09-29 20:17
@Lucky拾叁呀,,恭喜肖战主演电影诛仙1突破4                      亿大关     ,35,2019-09-29 20:05
@阿西西也要信小呆,,体面的表演值得体面的告别，感谢观众帮《诛仙》、帮肖战走完了前99步，更谢谢你们恰好将3.9到4.0的这最后一步，留给我们粉丝来完成。 这小小的一步，对电影行业不重要，对普通观众不重要，但对小飞侠真的很重要。@X玖少年团肖战DAYTOY 4亿电影大男主，你好。寒冬腊月里你含笑吃的苦，终究不负。,29,2019-09-29 20:08
@忘忘圆子DAYTOY,,恭喜！恭喜肖战一番大男主电影《诛仙》票房破四亿，恭喜肖战成立个人工作室，肖战值得！！！！,35,2019-09-29 20:06
@君了个君君_,,恭喜演员肖战！！！,26,2019-09-29 20:05
@SnowLee0915,,小战，大战对你这张图还满意吗？,18,2019-09-29 20:12
@战战的甜啵,,恭喜演员肖战！！！,17,2019-09-29 20:17
@迷糊兔5,,海报不错，再接再厉,22,2019-09-29 20:08
@XZ-d叶子,,哥哥放假啦好好休息,9,2019-09-29 20:05
@八佾子DAYTOY,,恭喜@X玖少年团肖战DAYTOY ！,9,2019-09-29 20:05
@弦月与你,,这个美工可以啊!!!（先夸夸小室）,10,2019-09-29 20:20
@我超超超爱学习,,恭喜肖战一番大男主电影《诛仙》票房破四亿，恭喜肖战成立个人工作室，肖战值得！！！！,9,2019-09-29 20:07
@吃了可爱再长大,,恭喜肖战哥哥,8,2019-09-29 20:06
@雪雨菲情-,,#诛仙票房破4亿# 恭喜恭喜！！！加油加油！！！[加油][加油][加油] 评论配图,5,2019-09-30 01:20
@可颂Dt,,超级棒,7,2019-09-29 20:05
@忘忘圆子DAYTOY,,恭喜肖战诛仙破亿！小战也要加油！我们一起努力！@X玖少年团肖战DAYTOY @肖战工作室,6,2019-09-29 20:07
@待我坐拥万众紫海,,恭喜肖战！,7,2019-09-29 20:05
@趙七九_,,我就是睡前来看看你还在不在，确认你还在,3,2019-09-30 01:24
@肖兔子的胡萝卜99,,工作室说 今天刚开始官宣 我就特别忙啊,7,2019-09-29 20:22
@王世界_肖个别_帅清晨,,今天是个好日子！恭喜gg成立工作室，恭喜gg票房破4e！ 查看动图,4,2019-09-29 20:35
@十月息,,啊啊啊啊啊啊啊啊啊啊啊祝贺！@X玖少年团肖战DAYTOY,5,2019-09-29 20:06
@你听得到20,,这图好评，有工作室果然不一样，必须给小站点赞,5,2019-09-29 21:20
@茯苓一口榛,,恭喜演员肖战，谢谢整个团队的付出，谢谢新工作室的支持。#肖战1005生日快乐# 不断进步，明天会更好的！,4,2019-09-29 20:08
@Lunanas,,啊啊啊啊！冲鸭！,5,2019-09-29 20:05
@eO_osteakang,,恭喜,4,2019-09-29 20:05
@末日集邮册,,恭喜哥哥！！！@X玖少年团肖战DAYTOY,5,2019-09-29 20:05
@叶梨千久,,在？该换高清独家微博版图了！@肖战工作室 作为绝美小赞的的工作室你是不是也该打扮下自己啦,3,2019-09-30 10:43
@Cassius_北极洛,,工作室底下还要空瓶的吗,4,2019-09-29 20:37
@山有木兮Today,,啊啊啊啊，夸一下我们工作室，不错不错，这审美还可以,4,2019-09-29 20:29
@Devcon2,,终有回响,2,2019-09-30 18:08
@心节Lucifer,,今天也要努力啊,2,2019-09-30 11:16
@水厂白小1108,,恭喜《诛仙》票房破四亿啦！也恭喜演员肖战。厉害了,3,2019-09-29 21:18
@李知南XN,,今天战战双喜临门值得庆贺，战无不胜，未来可期,2,2019-09-29 21:17
@是尾巴呀a,,双喜临门，可喜可贺,2,2019-09-29 20:45
@想看极光--,,恭喜肖战，哥哥太棒了,2,2019-09-29 20:45
@T好宝贝,,恭喜肖战一番大男主电影《诛仙》票房破四亿，恭喜肖战成立个人工作室，肖战值得！！！！,2,2019-09-29 20:44
@清奈香子,,突然就泪目 @X玖少年团肖战DAYTOY 你看这是你的小飞侠你们承诺的相互成长,2,2019-09-29 20:43
@顾浔SEAN,,恭喜哥哥，未来可期！,2,2019-09-29 20:43
@超级蒙宝,,哥哥帅！！！！！！[加油][加油][加油][加油][加油],2,2019-09-29 20:39
@凉凉的热苏打,,演员肖战@X玖少年团肖战DAYTOY 那么努力走到我们面前来，不负期待，交出一份满意的答卷。,2,2019-09-29 20:38
@星星都坠入你眼里,,恭喜肖战,2,2019-09-29 20:38
@fflv补眠中,,体面的表演值得体面的告别，感谢观众帮《诛仙》、帮肖战走完了前99步，更谢谢你们恰好将3.9到4.0的这最后一步，留给我们粉丝来完成。 这小小的一步，对电影行业不重要，对普通观众不重要，但对我们，真的很重要。@X玖少年团肖战DAYTOY 4亿电影大男主，你好。寒冬腊月里你含笑吃的苦，终究不负。,2,2019-09-29 20:37
@_有钱哥哥_,,#肖战诛仙# 恭喜小赞@X玖少年团肖战DAYTOY 未来继续前行[加油],2,2019-09-29 20:37
@七月半倩倩,,,2,2019-09-29 20:37
@烤奶加点盐-,,#肖战诛仙# 初心炽热，终有回响,2,2019-09-29 20:37
@小筱仙子,,恭喜《诛仙》破四，恭喜演员肖战@X玖少年团肖战DAYTOY,2,2019-09-29 20:36
@Cassius_北极洛,,恭喜恭喜破4亿！！！,2,2019-09-29 20:35
@肖沐言DAYTOY,,恭喜战哥,2,2019-09-29 20:35
@唯爱肖战战先生,,功夫不负有心人，战战的努力也算没有白费,3,2019-09-29 20:34
@坚果姑娘DAYTOY1005,,恭喜哥哥！！！！,2,2019-09-29 20:34
@妍令,,恭喜哥哥,4,2019-09-29 20:06
@笨喵小懒,,太棒了,3,2019-09-29 20:05
@慕怡然,,恭喜战战,2,2019-09-30 12:56
@郝特耐的小天使bububu,,你有在认真工作吗？,2,2019-09-30 12:34
@马楠楠daytoy,,很骄傲的说 :  1亿有我 ， 4亿也有我  。  未来的日子希望他能更好 ，他是一个很有自己坚定想法的人 ， 以前受了很多苦，@肖战工作室 不怕你来的晚 ，只要你一直在 。 ,2,2019-09-29 23:21
@肖野猫DAYTOY,,恭喜肖战一番大男主电影《诛仙》票房破四亿，恭喜肖战成立个人工作室，肖战值得！！！！,3,2019-09-29 20:07
@战哥看我_,,恭喜由肖战 主演的电影《诛仙I》票房破4亿！感谢剧组全体制作人员和演员们的共同努力，感谢每一位走进电影院的观众们！,3,2019-09-29 20:07
@可爱的爱米粒,,看了看了，肖宝宝演得好好，很入镜头，跟陈情令的形象完全不同，却能驾驭角色，进步太大了。诛仙1拍得激烈场面好多，没安静的时候，导演是不是喜欢打闹的那种？或者更年期吧，害得我家肖宝宝被打了两个耳光真气人。,2,2019-10-28 10:02
@辰橙橙橙橙橙橙薇,,棒,1,2019-10-07 00:55
@夏夏夏夏夏夏夏夏梦媛,,GG怎么还不发博,1,2019-10-05 01:18
@绕着宇宙银河走,,恭喜肖战一番大男主电影《诛仙》票房破四亿，恭喜肖战成立个人工作室，肖战值得！！！！,1,2019-10-04 12:12
@AgoniXZ亦久亦旧,,恭喜肖战一番大男主电影《诛仙》票房破四亿，恭喜肖战成立个人工作室，肖战值得！！！！,1,2019-10-03 19:43
@唯爱洋晓寒,,初心不变，一往无前！阿战加油！,1,2019-10-03 09:28
@博肖礼成,,棒，每天打卡,1,2019-09-30 12:43
@岂独于喵果果,,出来干活了。。。,1,2019-09-30 12:33
@似晚星入夢,,果然！关注你是对的！哥哥终于有自己的工作室了,1,2019-09-30 12:22
@赞赞的可爱牙牙,,感谢观众帮《诛仙》帮肖战走完了前99步，更谢谢你们恰好将3.9到4.0的这最后一步，留给我们粉丝来完成。这小小的一步，对电影行业不重要，对普通观众不重要，但对我们，真的很重要。@X玖少年团肖战DAYTOY 4亿电影大男主，你好。寒冬腊月里你含笑吃的苦，终究不负。,1,2019-09-30 11:34
@松果·DAYTOY,,醒醒，起来工作了,1,2019-09-30 11:33
@我是可爱的小甜甜呢,,小凡不平凡,1,2019-09-30 11:29
@-lee-w,,恭喜  期待下一部作品 ,1,2019-09-30 11:12
@指尖花怜,,一路同行,1,2019-09-30 11:01
@专磕有钱哥哥,,恭喜战战,2,2019-09-30 10:39
@有钱的抱米花,,体面的表演值得体面的告别，感谢观众帮《诛仙》、帮肖战走完了前99步，更谢谢你们恰好将3.9到4.0的这最后一步，留给我们粉丝来完成。 这小小的一步，对电影行业不重要，对普通观众不重要，但对我们，真的很重要。@X玖少年团肖战DAYTOY 4亿电影大男主，你好。寒冬腊月里你含笑吃的苦，终究不负。,1,2019-09-30 10:31
@捶死你个小傻瓜,,恭喜恭喜 评论配图,1,2019-09-30 10:17
@燃情岁月0506,,恭喜肖战一番大男主电影《诛仙》票房破四亿，恭喜肖战成立个人工作室，肖战值得！！！！,1,2019-09-30 10:02
@芝士小陈吃虾,,恭喜肖战一番大男主电影《诛仙》票房破四亿，恭喜肖战成立个人工作室，肖战值得！！！！,0,2019-09-30 10:01
@Carrie-ci,,恭喜肖战一番大男主电影《诛仙》票房破四亿，恭喜肖战成立个人工作室，肖战值得！！！！,1,2019-09-30 10:00
@做个每天都开心的少女,,#肖战诛仙# 恭喜演员肖战，未来可期,1,2019-09-30 09:53
