User,Reter,Comment,Votes,Time
@微博抽奖平台,,奖品名称：腾讯视频VIP礼赞新中国成立70周年典藏卡*4人；抽奖时间：2019-09-25 19:06:00；抽奖规则：抽奖详情,2,2019-09-25 17:58
@甜奶棠,,一起赞中国！！@UNIQ-王一博,603,2019-09-20 10:31
@咦不紧张,,//@love一博90:与王一博一起为祖国点赞@UNIQ-王一博,398,2019-09-20 11:02
@王二木01,,王一博！！！,474,2019-09-20 10:30
@就想磕,,王一博@UNIQ-王一博,400,2019-09-20 10:31
@这是我旳个人微博,,期待王一博,44,2019-09-20 10:30
@格兰杰妹妹,,跟着王一博赞中国,35,2019-09-20 10:31
@久久的椰啵,,和王一博一起传递文化自信！@UNIQ-王一博,22,2019-09-20 10:32
@娱乐毛蛋,,王一博,22,2019-09-20 10:30
@小梦冉冉li,,和正能量演员@UNIQ-王一博 一起祝福祖国,21,2019-09-20 10:33
@匪我昔行,,呀！,12,2019-09-20 10:30
@LO九十九,,和王一博一起为祖国点,10,2019-09-20 10:33
@人海中的孤独患者,,和王一博一起为祖国点赞@UNIQ-王一博,5,2019-09-20 11:12
@奶盖座85冰淇淋,,@UNIQ-王一博 用手势舞为祖国点赞！来腾讯视频，和王一博一起传递文化自信，点赞中华文化传承！#祖国因你更赞#,1,2019-09-20 15:01
@奶盖座85冰淇淋,,祖国赞心间，王一博加油,1,2019-09-20 15:01
@Rona-Yaoyao,,一起为祖国点赞,1,2019-09-20 13:25
@牛大猫的Motorcycle,,非常赞,1,2019-09-20 12:07
@牛大猫的Motorcycle,,好赞,1,2019-09-20 12:07
@牛大猫的Motorcycle,,赞赞赞,1,2019-09-20 12:07
@碎块,,与正能量艺人王一博一起为祖国点赞,1,2019-09-20 11:14
@抹茶小公馆,,正能量艺人王一博，年少有为，未来可期！ @UNIQ-王一博,1,2019-09-20 11:13
@今天运动了吗--,,与王一博一起为祖国点赞@UNIQ-王一博,1,2019-09-20 11:13
@JaeJae_JiJi_YJ,,和@UNIQ-王一博 一起为祖国点赞,1,2019-09-20 11:13
@弘鑫妈妈,,和王一博一起为祖国点赞！！！@UNIQ-王一博 #正能量艺人王一博#,1,2019-09-20 11:12
@小草莓耶啵,,与王一博一起为祖国点赞@UNIQ-王一博,1,2019-09-20 11:11
@1只糯米团子,,与王一博一起为祖国点赞@UNIQ-王一博,1,2019-09-20 11:11
@美丽的王招财,,一起为祖国点赞@UNIQ-王一博,1,2019-09-20 10:44
@95号冰苏打,,王一博好棒！ 查看动图,1,2019-09-20 10:37
@嫉妒我的人太多不方便透露姓名,,和@UNIQ-王一博 一起点赞中华文化传承！,1,2019-09-20 10:37
@-琉璃青梅酒-,,一博冲啊,1,2019-09-20 10:32
@Sabakuky,,和王一博一起传递文化自信@UNIQ-王一博,1,2019-09-20 10:32
@仄言清欢,,和王一博一起为祖国点赞@UNIQ-王一博,1,2019-09-20 10:32
@UNIQ-王一博绯闻女友,,与王一博一起为祖国点赞@UNIQ-王一博,1,2019-09-20 10:32
@W是小姐姐,,一博,1,2019-09-20 10:32
@lili红红Jj,,和王一博一起点赞祖国@UNIQ-王一博,1,2019-09-20 10:32
@王一博是我家男人,,和王一博一起传递文化自信，点赞中华文化传承@UNIQ-王一博,1,2019-09-20 10:32
@兔兀,,和王一博一起为祖国点赞@UNIQ-王一博,1,2019-09-20 10:32
@木糖醇每天吃丸子_星星,,给祖国笔芯 也给酷盖笔芯,1,2019-09-20 10:32
@超级无敌大橙子·,,王一博,1,2019-09-20 10:32
@揽1口袋星星,,一起为祖国点赞！,1,2019-09-20 10:32
@博啵薄宝,,为祖国点赞@UNIQ-王一博,1,2019-09-20 10:31
@JAandQI,,耶啵@UNIQ-王一博,1,2019-09-20 10:31
@糖一炮弹T,,王一博为祖国点赞 评论配图,1,2019-09-20 10:31
@Iwinniw,,酷盖爱你没道理,2,2019-09-20 10:30
@吃掉一个如果,,王一博！,1,2019-09-20 10:30
@暴躁的土豆花,,跟王一博一起点赞祖国@UNIQ-王一博,2,2019-09-20 10:30
@85号卫星找到他的行星了,,来了来了,2,2019-09-20 10:30
@请佩佩开心-,,来了来了王一博王一博！！,2,2019-09-20 10:30
@MADE柒柒,,与王一博一起为祖国点赞@UNIQ-王一博,2,2019-09-20 10:31
@五仁粽粽子,,和王一博一起点赞中华传承,2,2019-09-20 10:31
@抽一发我熟悉的r卡十连,,和王一博一起传递文化自信，点赞中华文化传承！,2,2019-09-20 10:30
@阿拉果很高贵,,一起为祖国点赞,1,2019-09-20 11:14
@大呆毛迎风飘,,与王一博一起为祖国点赞@UNIQ-王一博,1,2019-09-20 11:12
@小No74,,@胖我AO 来点赞，腾讯视频必须关注才能评论,1,2019-09-20 15:41
@WeirdoDou,,点赞祖国@UNIQ-王一博,1,2019-09-20 10:51
@爱吃香菜的耶啵儿,,与王一博一起为祖国点赞@UNIQ-王一博,1,2019-09-20 10:50
