User,Reter,Comment,Votes,Time
@你的bro小李,,我佛不渡哈批,546,2019-09-11 10:21
@bulingbulo,,有精神病家里人不看着？,145,2019-09-11 10:15
@今天没有打铁,,热得快,84,2019-09-11 10:15
@静茹吾爱,,如果是詹姆斯掉进去能烧伤吗,91,2019-09-11 10:19
@你似夏,,不热？叫花鸡怎么做的不知道吗,76,2019-09-11 10:23
@Almas0126,,热 冷 泪 抖 社 女 站,7,2019-09-11 10:19
@第六天音,,自己跳进去的，怨谁啊,5,2019-09-11 10:17
@46weird,,,1,2019-09-11 13:56
@C夕夕阳丶,,傻人有傻福，沙比没有,5,2019-09-11 10:28
@魔鬼筋肉人piss,,这滚几圈是什么操作,0,2019-09-11 10:40
@神棍柯里昂,,这也太虔诚了，自己祭天啊。,3,2019-09-11 10:21
@蔡志明明明,,人间迷惑行为大赏？？？？？,2,2019-09-11 10:20
@柠檬与火腿,,想起了猿飞阿斯玛,3,2019-09-11 10:42
@听说改名可以转运耶,,我以为她要把自己祭奉给佛祖,0,2019-09-11 11:02
@啾咪小白皮,,知识改变命运,0,2019-09-11 10:54
@Ccccsy1014,,就算里面不热正常人也不会跳进去吧,0,2019-09-11 10:28
@热心网民小田,,舒服了,0,2019-09-11 10:15
@苦瓜守护者,,你觉得不热，你觉得不脏吗,0,2019-09-12 09:49
@小Mo__,,以……为……不……热……,0,2019-09-11 22:23
@RNG-Wh1t3zZ,,@克拉萨瓦,0,2019-09-11 22:14
@PPToSun,,火遁，灰鸡烧,0,2019-09-11 21:59
@Fred826,,@昂不样,0,2019-09-11 18:28
@Nomanwasthere,,就算不热weishenme要跳进去？,0,2019-09-11 15:49
@阿彪酱紫,,问你为啥跳进香灰，啥叫以为不热就跳了，悬崖也不热，你咋不跳呢。,0,2019-09-11 15:29
@肥沃的草啊泥做的马,,是掉入还是跳入?,0,2019-09-11 14:43
@T-mac索馬裡_海带,,还要滚上几圈···,0,2019-09-11 14:38
@莫问分飞呀,,啥b,0,2019-09-11 14:21
@小螺号·loen,,？？？,0,2019-09-11 13:25
@李孟璠,,@他的猫 听见了没，她以为,0,2019-09-11 13:08
@借雨听风丶,,碳看着再不热也是可以烤肉的啊,0,2019-09-11 13:02
@小何有个GP梦,,故意跳进去的？,0,2019-09-11 12:48
@阿了立立,,@法拉利迪,0,2019-09-11 12:37
@梧桐树下看风景,,所以要多读书，不要做睁眼瞎,0,2019-09-11 12:32
@MYJ-CN,,不作就不会死,0,2019-09-11 12:27
@年华不染裳缨络,,你就是无火的余灰？？,0,2019-09-11 12:13
@你的三分之一人生,,没死可惜了,0,2019-09-11 12:03
@Grays--,,提了没,0,2019-09-11 11:48
@小叶叶不懂事,,牛逼,0,2019-09-11 11:42
@TALENTidiot,,以为不热哈哈哈,0,2019-09-11 11:36
@太远泰丰2014,,插香炉里，装什么香,0,2019-09-11 11:16
@莫优moyou,,哎，智商税,0,2019-09-11 11:13
@Thanos-sanp,,詹姆斯一天提肛几下？,0,2019-09-11 11:05
@郭挺好,,翻滚干嘛啊,0,2019-09-11 10:56
@淡逝已不寻梦,,淬炼筋骨，佛在渡你,0,2019-09-11 10:55
@墨染沧海,,香灰里找四十二章经了,0,2019-09-11 10:50
@热心市民谭小民,,如果詹姆斯掉进去会烧伤吗？答案是不会，因为他水……,0,2019-09-11 10:49
@沙雕雕同学,,@朱一一同学 以为五十五度灰呢,0,2019-09-11 10:46
@胡皮皮猪管理员,,@一天睡满二十四小时,0,2019-09-11 10:46
@小冰块大人,,憨憨?,0,2019-09-11 10:45
@Devilww,,这智商也是没谁了,0,2019-09-11 10:45
@西瓜小姐CC,,亏得有那几个好心人不然得烫死在里面了,0,2019-09-11 10:42
@诺音99,,哈皮,0,2019-09-11 10:39
@ICyfreeBM,,南无加特林菩萨，一息三千六百转物理超度,0,2019-09-11 10:38
@己所欲然施于人,,这个叫不慎？,0,2019-09-11 10:38
@wong振辰33,,佛不渡……,0,2019-09-11 10:33
@yourskyo,,人总是在痛苦中成长,0,2019-09-11 10:33
@氧氟沙星,,关键时刻还得精神小伙,0,2019-09-11 10:33
@燕痕潇,,,0,2019-09-11 10:30
@一個靓仔的自我修养_,,脑子是个好东西,0,2019-09-11 10:29
@_MaybeNextTime_,,给封建迷信的胖硕看一看@小美Alaina,0,2019-09-11 10:29
@酷炫的山姆,,愣着干什么 ！起诉寺庙啊,0,2019-09-11 10:28
@读研考博梦想环游世界,,原来是自己想跳的啊！？？？,0,2019-09-11 10:27
@江佳峻-,,哈哈哈哈哈哈哈哈哈哈哈哈@罗铭钅名,0,2019-09-11 10:26
@洋大爷还年轻,,最可怕的就是无知,0,2019-09-11 10:26
@冰糖炖猪头12345kk,,完美的人生,0,2019-09-11 10:25
@北边的南河鱼,,原来是自己跳的啊！,0,2019-09-11 10:23
@o0享耳类类0o,,她家里人不在庙里一哭二闹三上吊要求赔偿已经很不错了,0,2019-09-11 10:23
@沐晨reyes,,我以为宇宙有空气,0,2019-09-11 10:22
@我在风中V5,,让我想起了成龙大哥醉拳二里面那个镜头,0,2019-09-11 10:22
@chasingzZ,,还好烧了香，不然90%被烧,0,2019-09-11 10:21
@書劍同淵,,佛祖只能渡有缘人，救不了作死人,0,2019-09-11 10:20
@Maverick-man,,真尼玛，能不能不要发这种了看的就觉得毁三观,0,2019-09-11 10:20
@肥麦归来,,还翻来覆去的是最骚的,0,2019-09-11 10:16
@Ki0923,,早日康复啊,0,2019-09-11 10:16
@顾然然ta-ris,,傻,0,2019-09-11 10:16
@北一环KAIST,,献祭了不正好吗,1,2019-09-11 10:49
@河嘴湾情人,,还好信佛 不信佛烧伤的可就95％不是59％了  还不快谢谢佛,1,2019-09-11 10:19
@南街北巷故人归,,我也觉得不热呢,1,2019-09-11 10:15
@山寨胖子啊,,吃饱了撑的！,0,2019-09-11 11:08
@离散型傅里叶变换,,@迷惑行為大賞,0,2019-09-11 10:54
@业余杠精,,,0,2019-09-11 10:29
@我们是蓝军但不是切尔西,,牛屁,0,2019-09-11 10:27
@Luciopi,,翻个面保证全熟,0,2019-09-11 10:16
@一念之间即是天涯,,掉入？是跳入吧,0,2019-09-11 10:16
@tKeN你大爷,,这智商基本可以告别烧香了,0,2019-09-11 10:16
@为什么你不懂有爱就有痛,,这是在干嘛滚了又滚，烧烤吗，面面都有,0,2019-09-11 15:51
@老品种农民Ray,,火灰捂洋芋了解一下,0,2019-09-11 13:18
@liujiantj2019,,她是怎么做到的，,0,2019-09-11 10:17
@竹蜻蜓之旅,,智商感人啊,0,2019-09-11 12:49
@扶风令,,@大kun宇 进来跳,0,2019-09-11 12:25
@小猫小猫啊喵喵,,果然是他自己跳进去的啊,0,2019-09-11 11:03
@久伴J不腻,,@0324你的酒馆对我打了烊 ,0,2019-09-11 11:03
@MMirriors,,@大耳朵石榴 nbbs 吓尿,0,2019-09-11 10:53
@被驯服的One象,,@Zebra-孟飞,0,2019-09-11 10:52
@mkjop00iyfdsaa,,@拿起我的吹峰机 @孤僻久,0,2019-09-11 10:43
@壮儿啊,,快找他们索赔阿。卧槽？制杖我日,0,2019-09-11 10:37
@无趣生命体,,优胜劣汰,0,2019-09-11 10:32
@韩敬业ss,,@AZY-Liu 。。。。,0,2019-09-11 10:24
@瑜瑜今天想我了嘛,,@我不爱吃你爱吃的芒果 这是哪,0,2019-09-11 10:24
@悠闲肥韬,,有病吧？,0,2019-09-11 10:21
@Sy-Slim_MathersIII,,@颜料好贵,0,2019-09-11 10:21
@看倒起盯倒来,,宝批龙,1,2019-09-11 10:21
@JustLikeAI,,@x冬之雪舞x 真是啥人都有,0,2019-09-11 10:17
@增小王7998,,智商是硬伤,0,2019-09-11 10:16
@未妨惆怅是清欢XJC,,是个人才,0,2019-09-11 10:15
@tKeN你大爷,,图片评论 评论配图,0,2019-09-11 10:15
@苦瓜守护者,,你觉得不热，你觉得不脏吗,0,2019-09-12 09:49
@DarryRing爱生活,,这个是？沐浴香火？,0,2019-09-12 05:40
@小Mo__,,以……为……不……热……,0,2019-09-11 22:23
@RNG-Wh1t3zZ,,@克拉萨瓦,0,2019-09-11 22:14
@PPToSun,,火遁，灰鸡烧,0,2019-09-11 21:59
@苦瓜守护者,,你觉得不热，你觉得不脏吗,0,2019-09-12 09:49
@DarryRing爱生活,,这个是？沐浴香火？,0,2019-09-12 05:40
@小Mo__,,以……为……不……热……,0,2019-09-11 22:23
@RNG-Wh1t3zZ,,@克拉萨瓦,0,2019-09-11 22:14
@PPToSun,,火遁，灰鸡烧,0,2019-09-11 21:59
@鸿鸿鸿鸿鸿鸿yuYA,,//@你的bro小李:我佛不渡哈批,0,2019-09-11 19:00
@Fred826,,@昂不样,0,2019-09-11 18:28
@为什么你不懂有爱就有痛,,这是在干嘛滚了又滚，烧烤吗，面面都有,0,2019-09-11 15:51
