User,Reter,Comment,Votes,Time
@老子天下最美timi,,下一个十年我也要这样玩,205,2019-10-02 20:28
@烊烊AD钙奶,,强国之姿，当立于民族之林，承民生之重责，为亚洲之巨龙，做盛世之磐石。季秋之际，乃丰收之季，而今，国历七十载，祝祖国母亲强盛不衰，万世流长。,139,2019-10-02 19:06
@现女友甜兮兮,,果然拍婚纱照的大部分都去三亚了,54,2019-10-02 22:05
@张·小·尘,,最近是流行把单身狗拉进来打死吗,37,2019-10-02 22:53
@rlirli,,祝福,9,2019-10-02 20:25
@小澈澈溪,,家是最小国 国是千万家,12,2019-10-02 21:44
@傘椤,,真漂亮,6,2019-10-02 19:03
@安德莉亚_兰,,好美,4,2019-10-02 19:21
@长安的大甜甜,,来个兵哥哥和我一起,1,2019-10-02 21:48
@辰秋岐V,,美丽三亚 浪漫天涯,2,2019-10-02 19:38
@狂女的小梦想,,壮哉，祖国，美哉，三亚!,0,2019-10-03 08:31
@陈小脸脸,,@短腿小肉肉,0,2019-10-03 00:33
@狍子食棵草,,不错真不错，爱你更爱国,0,2019-10-02 23:12
@假如巴黎hen快乐,,刚好错过,0,2019-10-02 21:55
@辰秋岐V,,,0,2019-10-02 19:37
@雯小弟,,棒！,0,2019-10-03 01:08
@杰伦和你,,@leton,0,2019-10-02 22:45
@耐禾酥,,不知道80周年我暴富了没,0,2019-10-02 22:40
@Urquhar,,越活越年轻！,0,2019-10-02 21:57
@柠玖Jiu99,,最近是流行把狗拉进来打死吗,2,2019-10-02 21:46
@CLL罗LDL,,下个十年，我也要玩！,1,2019-10-03 00:56
@大琬__q,,80周年的时候我一定也要……呸我还是单身,1,2019-10-02 21:59
@愿以多年成一生,,卧槽，真厉害,0,2019-10-02 23:04
@克里斯汀乐园,,转发微博,0,2019-10-02 22:13
@曹阿瞒不错,,宝宝们都是最美的新娘,0,2019-10-02 22:07
@天涯海角,,#70对情侣身穿婚纱祝福祖国# 繁荣昌盛，永远强大！#大话天涯#,0,2019-10-02 22:07
@最爱乐乐宝宝,,漂亮,0,2019-10-02 22:06
@麟玺卿,,好好看啊。,0,2019-10-02 21:58
@菲菲啊晴儿啊二妈,,沙滩好白啊,0,2019-10-02 21:57
@LefUMc-Yau,,@stay_corn,0,2019-10-02 21:56
@小考拉要上树,,太幸福了吧我又酸了,0,2019-10-02 21:47
@无药37862,,？？？？？？？,0,2019-10-02 21:46
@甜甜软猫,,一个个小家构成祖国这个大家,0,2019-10-02 21:41
@甲鸟为鸭,,全国各地都在秀恩爱,0,2019-10-02 21:38
@m4a11333,,祝永远幸福，白头偕老,0,2019-10-03 00:54
@天依蓝545,,海南也上热搜啦！,0,2019-10-03 00:31
@我我鸭,,与祖国一起幸福下去吧,0,2019-10-02 21:44
@Jiashangshangqian,,@哦啦真可爱,0,2019-10-03 20:47
@等你一起醉流年,,,0,2019-10-02 23:23
@是倩倩呐Qian,,我一听这个我就想哭,0,2019-10-02 22:55
@孑颜颜,,@齷呦 走？,0,2019-10-02 22:35
@-橙橙橙橙子呀,,阿阿阿吧，0我大海南,0,2019-10-02 22:22
@一將gg,,哇，实名羡慕，祝福,0,2019-10-02 22:17
@秋官Levi,,厦大也有同框国旗!,0,2019-10-02 22:11
@爱吃屎的顾小北,,补个打卡，是我今年去避暑的地方,1,2019-10-02 22:08
@超精靈人好某人,,厉害,0,2019-10-02 22:06
@浪漫开场,,这是我们去过的地方 我们许下承诺的地方 我们的天涯海角@乍见如故,2,2019-10-02 22:00
@jktcps,,我们今年70面校庆也有70对伉俪一起参加,0,2019-10-02 21:59
@趙錦華或小胖游1979,,@Starry_ChaI,0,2019-10-02 21:58
@爱吃火锅桃子爱喝可乐的豆豆,,@987654uSWpw,1,2019-10-02 21:47
@大牌良品,,您好!常来常往哦,0,2019-10-02 21:11
@dejin1991,,这么大步怎么做出来的啊,0,2019-10-02 20:53
@大海与船,,,0,2019-10-02 19:06
@Jiashangshangqian,,@哦啦真可爱,0,2019-10-03 20:47
@狂女的小梦想,,壮哉，祖国，美哉，三亚!,0,2019-10-03 08:31
@Jiashangshangqian,,@哦啦真可爱,0,2019-10-03 20:47
@狂女的小梦想,,壮哉，祖国，美哉，三亚!,0,2019-10-03 08:31
@八两八半吧,,说实话，我最爱这个bgm里的这个版本,0,2019-10-03 01:56
@雯小弟,,棒！,0,2019-10-03 01:08
@CLL罗LDL,,下个十年，我也要玩！,1,2019-10-03 00:56
@m4a11333,,祝永远幸福，白头偕老,0,2019-10-03 00:54
@陈小脸脸,,@短腿小肉肉,0,2019-10-03 00:33
@天依蓝545,,海南也上热搜啦！,0,2019-10-03 00:31
