User,Reter,Comment,Votes,Time,Count
@咖喱GetGei,,卷fa里揪2个sòng喜茶x养乐多随行杯 评论配图,812,2019-09-09 14:42,2
@咖喱GetGei,,这款要到9.11上！,250,2019-09-09 14:46,2
@LoveMeTender2019,,石榴抗氧化，养乐多助消化。,571,2019-09-09 15:24,1
@Carol是个芋圆酱,,我敲！不知道武汉喜茶有没有,242,2019-09-09 14:48,1
@陈可爱o3o,,哇！！这个瓶子！！！,151,2019-09-09 15:42,1
@Tina-TianY,,养乐多！赞哟。感觉还没上,64,2019-09-09 14:43,2
@阿青是甜甜的酒酿味er-,,哇太可爱了！锁了！我爱石榴,41,2019-09-09 15:47,1
@比婳婳婳婳少两个婳,,这个真好看呀！！！！！,6,2019-09-09 15:12,1
@fin茄酱,,我的妈呀，这个瓶子太好看了吧,17,2019-09-09 15:03,1
@卖桔者言hhh,,我不管！我下班就去喝！,6,2019-09-09 16:36,1
@胖琪吃货录,,上海有吗,2,2019-09-09 20:55,1
@馋嘴栗子酱,,哇！喜茶和养乐多联名了！！,2,2019-09-09 20:46,1
@到了一百斤再改名,,@陌芯__ 想喝 我酸了,1,2019-09-11 17:16,1
@24283686jpjag,,@itswsc 啊啊啊啊啊,1,2019-09-11 17:13,1
@你的冬日限定灰,,@蔷薇花开的雨迹,1,2019-09-10 19:43,1
@AlecBaby-,,@他请你喝奶茶,1,2019-09-10 18:16,1
@俗人小鑫,,@任小姗33 @李根LG,1,2019-09-10 14:40,1
@阿猪a_,,@小葛小葛我看还可,0,2019-09-09 21:46,1
@KeryFree,,@男孩臭臭说尼好,0,2019-09-09 15:45,1
@暖风过境还是你,,@千家小幺 约吗？,0,2019-09-09 14:55,1
@不闹会死星人,,转发微博,0,2019-09-15 22:46,2
@Kikikobaby,,@水biss,0,2019-09-20 22:54,1
@鲜芋青稞毒唯粉,,转发微博,0,2019-09-16 02:28,1
@小叶子yoga,,来咯,0,2019-09-15 14:31,1
@一池鱼er,,太可爱啦！//@咖喱GetGei:卷fa里揪2个sòng喜茶x养乐多随行杯 评论配图,0,2019-09-15 13:55,1
@是你的七颗栗子,,没买到杯子的我，努力一下吧,0,2019-09-15 12:35,1
@世悠啊,,唉去读了大学这边没有喜茶,0,2019-09-15 12:31,1
@鹿鹿鹿鹿小尤1021,,瓶子好可爱,0,2019-09-15 12:07,1
@看到我就快让我去写作业,,我i了,0,2019-09-15 10:58,1
@Dodo-哒,,转发微博,0,2019-09-14 17:12,1
@甜酒小牛奶,,我今天嚯了，但是没有那个杯子了，好嚯！ 查看图片,0,2019-09-13 19:09,1
@信浓川-,,@辣椒油油油 瓶子！！,0,2019-09-12 20:30,1
@想和你摘星兴,,OKOKOK,0,2019-09-12 15:13,1
@葡味柠檬_cyh,,果然万物皆可波波冰,0,2019-09-12 10:56,1
@斋藤叽叽喳喳,,@方dengD,0,2019-09-12 08:58,1
@咔叽麻辣烫,,好好看,0,2019-09-11 23:51,1
@人间漫步-,,哈哈哈哈哈哈哈我太喜欢这个杯了完全就是我的菜,0,2019-09-11 23:47,1
@随意不随意_,,好想喝喜茶[求關注],0,2019-09-11 23:32,1
@Tina-TianY,,我看成了在评论里抽奖,0,2019-09-11 23:26,2
@Markson的杰尼龟,,我要去买了,0,2019-09-11 22:16,1
@一点都不甜辣,,转发微博 查看图片,0,2019-09-11 22:14,1
@-阿芋,,i了@喜喜_X,0,2019-09-11 22:12,1
@lovelyskinnypiggy,,@你超哥是个杀手 ,0,2019-09-11 22:05,1
@min绵绵,,买！,0,2019-09-11 20:53,1
@逸昕一熠,,优秀的喜茶,0,2019-09-11 18:09,1
@XN-LU,,@夜猫小许_x,0,2019-09-11 18:03,1
@开门一看是杰大,,可爱,0,2019-09-11 18:03,1
@-奥黛丽赫红,,@和影子玩拳击的人_ 想喝,0,2019-09-11 17:19,1
@Jessica_Venu,,想尝尝～,0,2019-09-11 17:16,1
@上學威女,,转发微博,0,2019-09-11 17:13,1
@noyrhy3,,@_就不告诉你哩,0,2019-09-11 17:13,1
@甜甜小林要暴富,,喝它！！！,0,2019-09-11 13:39,1
@chanszeman,,走@小眼甜心大混蛋,0,2019-09-11 13:01,1
@吃吃Miss7Eat_有钱只嘬85号奶盖,,#不可辜负的美食# 冲着这个杯子也想拔草一波,0,2019-09-11 11:27,1
