User,Reter,Comment,Votes,Time
@两个西柚灬,,这种想赢的态度就已经很感动了,40,2019-09-09 19:47
@可爱多养乐多不嫌多,,我给8-6，字母哥个人能力还是很强的，球队成绩不太理想 评论配图,23,2019-09-09 21:44
@K0411S,,那我选六到八分吧，表现不错但是最后淘汰了 评论配图,19,2019-09-09 21:43
@漫无目的磕,,我感觉他们为了胜利真的是付出了很多的。,5,2019-09-09 21:49
@亦凡亦灿_小古,,虽然这次又一点偏，但字母哥你在我心里的位置还是一样的 评论配图,3,2019-09-09 21:45
@你列表最软的妹纸,,我真的是很心疼希腊了！希望他们以后再接再厉吧。,1,2019-09-09 22:00
@Ankhwyf,,6-8分 字母哥 放松心态 好好发挥可以更好 更出色些,1,2019-09-09 21:52
@李子的可爱,,10分，就冲那个进球,0,2019-09-10 08:54
@响哥贼稳妥,,6-8吧,0,2019-09-10 07:31
@宇鹏是who,,希腊已经不是04年的希腊了，来两三个那届的人，字母哥会开心开心极了。,0,2019-09-10 00:05
@没有你我一样会过得很好,,这个表现已经很好了！我给8分，真的很赞 评论配图,0,2019-09-09 21:51
@ZCARS,,必须给8分，你已经很给力了，特别是那个球技 评论配图,0,2019-09-09 21:48
@和音说随遇而安,,我给字母哥8分，因为你真的表现很赞，我的心里话 评论配图,0,2019-09-09 21:47
@蓝莓奶茶公社,,,0,2019-09-09 21:46
@姿为朵,,全程看下来真的心疼字母哥 我会继续支持他的 评论配图,0,2019-09-09 21:45
@吃货瑜子,,字母哥的表现真的还是一如既往的赞，给力 评论配图,0,2019-09-09 21:44
@现在是大圣,,6分吧，虽然字母哥已经尽力了，但结果还是没大家预想的好,0,2019-09-09 21:50
@我的意思是啊是啊,,希望字母哥能够是本届世界杯的冠军，太可惜了，感觉他的表现真的是无敌了。,0,2019-09-09 21:49
@我爱812的女人们,,6分吧，虽然字母哥已经尽力了，但结果还是没大家预想的好,0,2019-09-09 21:49
@笑什么小建,,喜欢字母哥的那种干劲，真的太让人佩服了,0,2019-09-09 21:48
@奔跑的蜗牛水了,,字母哥对于胜利的这种渴望真的是太让人感动了,0,2019-09-09 21:47
@包装袋装,,我给字母哥打满分，虽然有失手，但是他真的很厉害。,0,2019-09-09 21:46
@我的意思是啊是啊,,希望字母哥能够是本届世界杯的冠军，他的表现真的是无敌了。,0,2019-09-09 21:45
@允许我爱我家,,字母哥就站在那里就已经赢了，感觉他非常的厉害,0,2019-09-09 21:44
@明日繁华,,以前世界杯看的少，这次因为中国主场又有网络直播，所以看的多一些。只想说一句：世界杯这样发展下去永远不会有太大的影响力。裁判该好好上上课了，不说没球星哨，反而抓着球星吹！昨天约老师被罚出去了，今天字母哥又被吹下去了！没明白世界杯的裁判的宗旨是什么，是公平吗？那就买副好的眼镜吧！,0,2019-09-09 20:35
@xmhXMH777,,为什么希腊还有1分钟的时候不往自己篮筐里面投，这样可以打平打加时，说不定能赢12分,0,2019-09-10 18:51
@村西大表哥,,不知道希腊国家的球迷会不会喷他，毕竟5犯离场嘛…,0,2019-09-10 04:20
@nhdks233,,他们已经做了最好的努力了。,0,2019-09-09 22:05
@ADBM3148779337_282,,这个可以,0,2019-09-10 09:06
@就叫Sephiroth,,字母哥,0,2019-09-10 06:39
@柳雾如烟,,字母哥能力很强了 评论配图,2,2019-09-09 23:05
