User,Reter,Comment,Votes,Time,Count
@暮色青染,,十年三月三十日，今晚8点爱奇艺腾讯开播，期待袁莱，表白娜扎，重点是编发吗？是剧，来看剧各种造型应有尽有，还有吃不完的狗粮，你值得拥有,58,2019-09-19 16:28,2
@焦糖牛牛-,,期待娜扎袁莱袁小兔!!!,36,2019-09-19 16:30,1
@快乐简简单单小容儿,,今晚爱奇艺，腾讯看起来,25,2019-09-19 16:25,1
@小李萱萱niya,,我的天啊，这是什么绝世小可爱绝世小甜椒,31,2019-09-19 17:11,2
@吕佳欣好友趣,,我总觉得娜扎特别适合演霸道总裁爱上我系列，再有小说翻拍，请优先考虑娜扎，男主角也换个帅点的，,4,2019-09-20 06:19,1
@Allen·兮瑶,,娜扎属实是很美啊，虽然不粉她，不过看这个造型，太好看了，想追一下这部剧,154,2019-09-19 16:33,1
@廿城,,长发也太美貌了吧！想起来她北电艺考的时候,7,2019-09-19 18:50,1
@脱离轨迹的月亮,,港真 娜扎真的好好看呀,6,2019-09-19 18:22,1
@我宝笑一笑,,今天播吗？作为纯路人为了她的颜和窦骁的声音我都要去看,1,2019-09-19 19:03,1
@呀呀呀芝士仙贝,,期待,5,2019-09-19 17:48,1
@人生海海lsy,,图4也太好看了。。,3,2019-09-19 17:11,1
@猫是我的-,,我可能是没看过小扎演过甜甜的现代剧    今天看的我全程姨母笑,3,2019-09-20 00:18,2
@Zooer_,,娜扎表情管理变好了以后很讨人喜欢呀  精致的时尚姐姐,1,2019-09-19 22:14,1
@言柒年,,古力娜扎长得确实是好看，但是每逢演女主的戏出彩的总是女二，,0,2019-09-19 20:11,1
@葛亚萌超棒的,,编发出一下教程,0,2019-09-19 18:30,1
@徐小肥is乖筱妮,,,2,2019-09-19 21:52,1
@冰是睡着的水yx,,十年三月三十日，今晚8点爱奇艺腾讯开播，期待袁莱，表白娜扎呀,2,2019-09-19 21:15,1
@柒海之风66,,今晚八点不见不散！,3,2019-09-19 16:44,1
@程程墨,,期待今晚,3,2019-09-19 16:35,2
@NshiechMzydhbr,,今晚安排,2,2019-09-19 16:27,1
@动物圓里有神马,,今晚看起来,1,2019-09-19 16:24,2
@瀞爱13692,,,0,2019-09-20 10:46,2
@瀞爱13692,,追剧追剧,0,2019-09-20 10:46,2
@诸葛刘能,,太爱了,0,2019-09-19 23:50,1
@你是那个谁谁谁吗,,,0,2019-09-19 21:52,1
@嘿吕同学,,姐姐加油,0,2019-09-19 21:41,1
@西瓜味的韭菜花,,我长这样我也去勇敢追爱,2,2019-09-19 20:51,1
@洳果能苁涞,,尴尬的演技……演了几部剧一部都没有火,0,2019-09-19 19:57,1
@修行也要顺心意7,,我的妈呀,0,2019-09-19 19:21,1
@Sprytnie,,仙女啊啊啊,0,2019-09-19 18:47,1
@云谷谷123,,甜美,0,2019-09-19 18:42,1
@就是易直要扎酸叽的心,,太美啦，追剧啊！！,0,2019-09-19 18:39,1
@猫是我的-,,靳燃给她拍照的时候   她那个手本来在兜里揣着 然后突然偷摸拿出来叉腰摆pose   真的笑死我  来来回回看了七八遍  太可爱了吧我的崽崽,0,2019-09-20 00:22,2
@是skr狠人,,我死了,0,2019-09-19 21:47,1
@Aurora不刷微博,,真好看啊,0,2019-09-19 21:39,1
@Ccandice_xia,,太美了太美了！！,0,2019-09-19 21:24,1
@卿兴-,,这个眉毛是什么鬼 全靠颜值撑啊 她真的是美啊！！！,0,2019-09-19 21:04,2
@言幸维先,,好日系！未来惠香,0,2019-09-19 20:36,1
@扶苏千里12,,图六，好可爱,0,2019-09-19 19:26,1
@那是清,,爱奇艺，腾讯都充好会员。追起来,0,2019-09-19 18:52,1
@一点也不呆的左,,太美了,0,2019-09-19 18:48,1
