User,Reter,Comment,Votes,Time
@一杯妖妖,,超过一小时我就觉得他不爱我了！,65,2019-09-19 13:31
@左大老板,,挑明说了才能算 在一起需要仪式感 分手当然也需要！,61,2019-09-19 13:31
@eyes泡,,有一次冷战时间是20多天，想的是给他时间让他反省透彻,7,2019-09-19 18:59
@小花与小左的日常,,超过一天就觉得她不爱我了,20,2019-09-19 13:31
@南国猫觅海1,,没有挑明不算分手,13,2019-09-19 13:24
@你是心中的日月c,,我从没绿过谁，只是忘了说分手？,11,2019-09-19 17:24
@韩小宸1,,千万不要冷战，因为有些事只是没说清，不是有人错了，误解不会消失，只会积攒下来，最后变成失望，祝天下人有情人终成眷属,7,2019-09-19 14:07
@尤二思的星辰,,你要是当仙女当累了，就来做我的宝贝。  ——网易云音乐热评《宝贝》,3,2019-09-19 13:25
@昰鲸,,从来没有和女朋友冷战超过第二天,3,2019-09-19 14:25
@Y_懂你的心灵文字,,冷战时，你难受的要死要活的，他有一刻觉得你很痛苦嘛，没有的话，何不放过自己！成年人的世界，没有回复就是答案，还巴巴的等一个明讲话，是觉得心不够痛嘛,4,2019-10-12 14:07
@强势小黑侠,,男生很会冷暴力,9,2019-09-20 00:44
@一朵多肉潘,,以前觉得没挑明就不算分手，自己傻不隆冬的人家都跟下一任谈的轰轰烈烈了,5,2019-09-19 14:32
@布的瓜,,@爽身粉丷,0,2019-09-19 17:24
@做我身下受_,,其实心里都清楚  只是想一而再再而三的去确定而已,2,2019-09-22 12:40
@奶糖豆干,,我还是觉得的明说，比如在一起也得明说,0,2019-09-19 14:38
@Miro_悦,,我老公没和我冷战过，冷战就分手，,2,2019-09-19 14:02
@六六阿尤y,,我参与了@笔下花花 发起的投票【情侣冷战多久算默认分手】，我投给了“三到七天”这个选项，你也快来表态吧~,1,2019-09-19 13:31
@幸福就快快乐乐,,一切随缘就好,1,2019-09-19 13:28
@兰心玉,,超过10分钟，我就觉得他不爱我了,0,2019-10-03 09:02
@wh1314wq,,讨厌冷战,0,2019-09-19 19:47
@MYI_II,,哎呦 我当时是冷战了三个多月呢 不知道当时脑袋抽什么疯进了多少水 冷战时间比在一起时间都长,3,2019-09-19 19:44
@我要换个有意思的ID,,冷战是啥意思,0,2019-09-19 14:11
@会飞的biu咩,,@任永修,0,2019-09-19 13:59
@请夸我好看谢谢,,一个月,0,2019-09-19 13:27
@Gfs队长-qq扩列,,我觉得三天就够了,1,2019-09-19 13:23
@我不一样a,,一个月吧,0,2019-09-19 13:23
@哥_呀,,一周太久了,0,2019-09-19 13:22
@奶茶小可爱鸭,,其实从一开始不联系就算了,0,2019-10-07 16:42
@游游游爱拍照,,多久都不算！！！！！！！！！,0,2019-10-03 23:44
@覃蜗牛,,十天，最后分手了,0,2019-09-28 09:54
@抽风不拉风,,我参与了@笔下花花 发起的投票【情侣冷战多久算默认分手】，我投给了“三到七天”这个选项，你也快来表态吧~,0,2019-09-25 21:53
@好好学习别碰球,,我六天了,0,2019-09-24 00:08
@你才是肥崽崽吖,,冷战期间点赞朋友圈却还是不说话什么意思,0,2019-09-21 08:12
@脸吃了,,一个小时都算好嘛！！！！！！！！,0,2019-09-20 21:27
@记得爱颖颖ying,,我觉得你跟我分也好谈也好，都要给我一个明确的表示，不是我重仪式感什么的，因为我不想莫名其妙的开始又莫名其妙的结束,1,2019-09-20 13:14
@二姐是个小太阳,,每一次吵架到最后得到的答案都是冷战 一天 三天 一周 半个月 然后一个月 。每次听他说 都说会改 会变得沟通然后 下次还这样 十年如一日的过去了十年，觉得生活很折磨,0,2019-09-20 02:12
@归尘思,,默认分手是个什么鬼？,0,2019-09-19 21:50
@立即开通会员7676,,@立即开通会员1212,0,2019-09-19 20:52
@短发哭包,,emmmm我是一个会在冷战期间偷偷哭的人，连着哭两天行，第三天就算了,0,2019-09-19 15:52
@爱笑的盐汽水-,,还是得说明白啊,0,2019-09-19 14:02
@毛不易的小本子,,我最多一次是忍了四个小时,0,2019-09-19 14:01
@蛋炒番茄喔,,要说分手才算分手呢？,0,2019-09-19 14:00
@ydtgbt一定甜过半糖666,,喜欢,0,2019-09-19 13:52
@薄荷糖之薄荷味,,半天,0,2019-09-19 13:48
@繁花似锦安,,我参与了@笔下花花 发起的投票【情侣冷战多久算默认分手】，我投给了“没直接挑明不算分手”这个选项，你也快来表态吧~,0,2019-09-19 13:38
@落水无声忆有梦06204,,一周都嫌多,0,2019-09-19 13:23
@A20011020,,一周,0,2019-09-19 13:23
@Yearbbh56,,7天了 也没有明确地吵架 就是说话态度不是很好 处女女和金牛男 我要疯了,0,2019-10-25 00:40
@vjochlchk,,已经9天没有说话了,0,2019-09-19 14:10
@小葵君与兔子与鱼,,@香香的爸爸丶 进来挨打,0,2019-09-19 19:34
