User,Reter,Comment,Votes,Time,Count
@张Y是我小迷妹,,全球免邮 美日加急,1256,2019-10-02 11:32,1
@峰林夜雪,,交警，超载！靠边停车,494,2019-10-02 10:42,1
@烊是玺气烊烊的烊,,东风快递，使命必达,365,2019-10-02 10:30,1
@梦入轮徊,,东风快递，使命必达，请开门查收！哦，算了，收不收也无所谓了,280,2019-10-02 20:43,1
@光腚大弟,,这种快递，一辈子只能给收一次，还不能拒收,253,2019-10-02 19:10,1
@蔓蔓的好男人,,你看错了 这是林业局的原木运输车 那些只是伪装,230,2019-10-02 19:56,1
@然-然-然后啊,,哈哈哈，现在连遮都不遮了，直接开上就回了。,160,2019-10-03 01:38,1
@蓼萧不高兴,,里面装的原木，大家莫慌,126,2019-10-02 21:37,1
@该昵称已被占用zjt,,昨天我老公给我看东风快递简介，上面写着主要去日本跟台湾省，什么什么的一大堆。他问我看的懂不，我说有什么看不懂的，主要是往外面去的快递，不在大陆活动，接着问我，听没听过这个快递，我说没有。可能因为往外面跑的吧。真的我说的好认真的。,85,2019-10-02 20:11,1
@冰蓝冷瞳,,实力不允许拒收系列，没机会差评系列,60,2019-10-03 00:20,1
@清炖羊肉和馕坑肉,,东风镖局 镖镖必达,45,2019-10-03 11:21,1
@秃噜皮的大buling盖子,,我估计真收到这个快递的话，也没机会给好评了吧,61,2019-10-02 17:45,1
@橘生淮南则为橘0221,,全球包邮，免费配送，还可以加急哟,36,2019-10-03 00:15,1
@丶寥寥無几De拥有,,不要乱发，不要乱拍好么，国家机密都被你们发网上泄露了,17,2019-10-03 16:52,1
@逸清风2017,,东风快递，使命必达！,19,2019-10-03 00:42,1
@覃先生不是什么,,,10,2019-10-02 10:41,1
@买World,,哦，是台湾说的“民营企业”东风快递！你这运气也忒好了,16,2019-10-03 12:04,1
@最近太阳有点大,,东风快递，使命必达！专治各种不服！,14,2019-10-03 11:20,1
@rkuki酷酷,,你这条信息很可能就别被人利用了，别人可以知道你们部署的大概位置,13,2019-10-02 18:13,1
@兔子保济丸,,怎么可能是原木，中国有那么多大木头吗，他们沙漠化那么严重，里面肯定是空的,16,2019-10-03 15:35,1
@李世卿1982,,这家快递公司最大的问题是——收件人没法给评价,7,2019-10-04 21:51,1
@jiejieaz,,这个牛,0,2019-10-09 23:10,1
@_趙老敢,,这个太有便利条件了 羡慕嫉妒啊,1,2019-10-04 11:46,1
@甜系萝莉,,请问这个bgm叫啥呀,1,2019-10-03 22:09,1
@生生觅觅,,求Bgm,2,2019-10-02 18:43,1
@文艺94666,,,0,2019-10-16 05:41,3
@匠艺海南黄花梨,,莫雷收……,0,2019-10-08 22:41,1
@张有彤,,兄弟告诉我你家地址，我想给你发个快递,0,2019-10-08 04:33,1
@玲姐爱中国,,最牛快递，无人敢挡[加油][加油][加油],0,2019-10-07 13:41,6
@夕颜好心情,,和我来两斤,0,2019-10-07 07:50,1
@喵柒柒是我,,无人机啊[饞嘴][饞嘴][愛你][愛你][愛你][親親][親親][親親],0,2019-10-06 20:03,1
@Q世界尽头Q,,,0,2019-10-05 20:09,1
@记者王继发,,反手就是一个大赞！,0,2019-10-05 16:10,1
@越长大9越孤单1002,,你可以上去拦着问问有你的快递没,0,2019-10-05 14:11,1
@-耘集-,,帅了,0,2019-10-04 19:57,1
@云帆高张_0426,,东风快递，使命必达,0,2019-10-04 06:22,1
@怦怦是我呀,,@亦只笨蛋 看评论哈哈哈哈哈,0,2019-10-03 10:03,1
@Eric_Hong,,导弹@DebbieNotHappy 太几把狠了,1,2019-10-03 08:48,1
@麦斯香浓,,有这玩意才安心,1,2019-10-16 22:59,3
@黄剑77357,,这谁敢给差评啊，也没机会啊,1,2019-10-15 14:27,2
