User,Reter,Comment,Votes,Time,Count
@微博抽奖平台,,奖品名称：阿玛尼405*1人；抽奖时间：2019-09-15 02:00:00；抽奖规则：抽奖详情,8,2019-09-14 22:26,3
@果儿Dora,,把礼盒同款的1套小奶盖 ，1套护手霜 ，1套指甲油都送给你们！大不大气，豪不豪爽 评论配图,236,2019-09-08 18:06,3
@果儿Dora,,点赞原博，揪一人送阿玛尼405一支，转发原博，揪3人平分礼盒同款！,115,2019-09-08 18:06,3
@果儿Dora,,你们喜欢哪个品？,46,2019-09-08 18:27,3
@五行缺钱不缺水,,最后只记住了奶茶上的奶盖,21,2019-09-08 18:09,1
@YYYYaaanng,,我发现我超喜欢看果儿笑啊啊啊啊  有点傻傻的？哈哈哈,12,2019-09-08 19:03,2
@糯米红豆味的碧根果,,我来啦,0,2019-09-08 18:06,1
@小陈甜吗,,好可爱啊这个,2,2019-09-08 18:51,1
@LAXYMZ,,头发褪色辽,0,2019-09-08 19:47,1
@陈遄Sevensix,,我什么时候才能被宠爱啊,2,2019-09-08 20:14,1
@我想打空格但打不出来,,每次看果女士的暴力开箱都很兴奋,3,2019-09-08 20:10,1
@皮格皮格猪_,,这护手霜爱了爱了,0,2019-09-08 19:05,1
@東季初魚,,我来啦果女士,0,2019-09-08 18:20,1
@啊促wing,,来啦果儿,0,2019-09-08 18:07,1
@可怜孩子_,,好爱啊！！！果儿！！爱你！,0,2019-09-08 20:18,1
@大雨咿呀咿呀哟,,日常转发求抽中,0,2019-09-08 20:13,1
@很多爱豆的惠庭,,虽迟，但到。喜欢护手霜，应该每个教师都需要吧,0,2019-09-08 19:45,1
@一只zz呢,,啊啊啊啊啊冲鸭！,0,2019-09-08 19:45,1
@柒妜流火,,把心灵手巧的你娶回家给我涂指甲油吧,0,2019-09-08 19:01,1
@鐿錡成长xxxF,,包装厉害了,1,2019-09-08 18:55,1
@风间行旅,,有什么缓解脱发的洗发水或其它东西 可以推荐一下吗,2,2019-09-08 18:11,2
@芒芒芒果不过敏,,这个礼盒好好看，收集癖上线...,0,2019-09-08 19:55,1
@丸子WhichOne,,三连我又安排了,0,2019-09-08 19:01,3
@丸子WhichOne,,不抽我我也爱你,1,2019-09-08 19:00,3
@春木木春,,散粉！！我可以诶！！护手霜也喜欢！怎么办？！不可以冷落指甲油！！所以我也喜欢！！,1,2019-09-08 18:45,2
@春木木春,,dbq芝麻街我没康过！！but我超爱芝麻街啊！！！,1,2019-09-08 18:41,2
@俺不是素的,,在大会上冒着生命危险看视频,0,2019-09-08 18:35,1
@王盼盼昨天不是才起过床,,,1,2019-09-08 19:50,1
@Cui_奋斗,,果儿最可爱了,2,2019-09-08 19:22,1
@一个莫愁啊,,喜欢想拥有,1,2019-09-08 18:18,1
@栀璃鸢幽,,果女士  我来了,0,2019-09-08 18:16,1
@想撸猫子,,来了来了 她来了,0,2019-09-08 18:06,1
@不奇怪很可爱,,我只有冬天才用护手霜，非常干，怕冻裂了...,1,2019-09-08 18:04,2
@好运来来来来--,,好喜欢啊！,0,2019-09-08 19:28,2
@一号好朋友,,果儿,0,2019-09-08 18:37,1
@豆子2282,,太喜欢这个礼盒了，好像拥有指甲油,0,2019-09-08 20:00,1
@如此甚好-,,哎呀呀奶香的联名款！！！今晚0点抢起来[加油],1,2019-09-08 18:45,1
@2Han9Q1b1n,,果儿你真的太可爱了,1,2019-09-08 18:30,1
@爱吃草莓诶,,来了来了 我的天哪 神仙联名,2,2019-09-08 18:20,1
@阿若啊晗,,超爱芝麻街！！！！！！,2,2019-09-08 18:05,1
@我就是那么可爱哒,,太喜欢果儿开箱啦,0,2019-09-08 21:45,1
@兜兜有糖Candy_,,很喜欢，支持,0,2019-09-08 21:06,1
@致未来的金彩,,真的好看这个盒子！,0,2019-09-08 20:43,1
@一只吃了五花肉的半欢,,大气死了,0,2019-09-08 20:37,1
@吴世勋鹿晗的甜甜小宝贝,,看我看我看我,0,2019-09-08 20:20,1
@四零七_,,我还真没看过,1,2019-09-08 20:13,1
@钢铁贤爱苦瓜汁,,记得双击，么么哒~哈哈哈哈,2,2019-09-08 19:34,1
@梁先生的萌宝,,虽然没有看过芝麻街，但是联名心动了,0,2019-09-08 19:15,1
@鲁尼皮特小鸭赞,,对于会认真回评论的果儿毫无抵抗力,0,2019-09-08 19:10,2
@盐甜甜啵,,想喝奶盖加一！,0,2019-09-08 19:03,1
@吃遍全天下iii,,超级想要我好喜欢芝麻街啊,0,2019-09-08 19:01,1
@丸子WhichOne,,,0,2019-09-08 19:00,3
@Naaclay,,哈哈哈哈隔着屏幕都能感受到果儿的开心,0,2019-09-08 18:59,1
@把明天捏成彩虹色,,我来了果儿,1,2019-09-08 18:57,2
@把明天捏成彩虹色,,你的笑声也很魔性,1,2019-09-08 18:56,2
@花小妖是个少年,,奶香的芝麻街联名美妆,1,2019-09-08 18:55,1
@AmiliZhao,,果儿高产,0,2019-09-08 18:51,1
@-丁柚-,,那个跳色指甲油好好看,0,2019-09-08 18:51,1
@青茫Dean,,我的妈神仙种草,0,2019-09-08 18:47,1
@怪力少女大乱斗,,啊啊啊，爱了爱了，给美腻的果儿笔芯,0,2019-09-08 18:46,1
@柠檬·不檬,,芝麻街！我喜欢！！,0,2019-09-08 18:39,1
@漫云青,,我来了,0,2019-09-08 18:27,1
@奕义W,,开啦,2,2019-09-08 18:22,1
@菡萏zq,,这盒子爱了爱了,1,2019-09-08 18:20,1
@羽霖雨开,,死了我有代沟,0,2019-09-08 18:18,2
